distance,is_ood
1.8570672451728043,False
2.6752889891453235,False
2.4792674522058413,False
2.050493104815577,False
2.5147873155269083,False
1.4574330791952028,False
2.3172382771164615,False
2.862477169407392,False
1.2063167054212727,False
2.787922611620175,False
1.49670960271637,False
3.382199253674256,False
2.4215038678210163,False
2.108432210589541,False
1.820616341924434,False
2.373468583161556,False
2.9550692215137335,False
1.3375688354285982,False
2.5919845338954026,False
2.086818173517366,False
3.9918712967290797,True
1.797359367726318,False
3.046766726335738,False
1.7616950134854037,False
2.6704592755531205,False
2.923707641018402,False
2.4309681766305324,False
2.206826907559899,False
3.2954745721441965,False
2.2703538317002896,False
3.4846822513685676,False
1.7978249795383283,False
2.0754815870704335,False
2.8050326912546564,False
2.491634995631638,False
2.896208091675845,False
1.8517119307556944,False
3.4487266899128954,False
2.1685770345517645,False
1.9969069969905133,False
2.304083680541612,False
2.549480652242663,False
2.5334579112864315,False
1.6902174391640803,False
2.607127558313299,False
2.0081966311396213,False
1.9570754132477761,False
1.9559494251917828,False
1.8871073121551665,False
2.6649890532036373,False
3.274558428751168,False
2.497551443096862,False
3.0911787308754066,False
1.8595458481031302,False
1.5393270726484805,False
2.9837496434055804,False
1.9786631548106732,False
2.5569428678688464,False
2.6617251980566694,False
2.5010209524241973,False
